Date,Open,High,Low,Close,Adj Close,Volume
2020-08-28,147.490005,150.460007,146.679993,146.889999,146.889999,83900
2020-08-31,147.259995,147.960007,143.990005,144.440002,144.440002,80300
2020-09-01,145.009995,149.100006,145.009995,148.820007,148.820007,86300
2020-09-02,148.460007,151.229996,147.740005,150.000000,150.000000,100500
2020-09-03,148.750000,148.750000,143.910004,144.279999,144.279999,79000
2020-09-04,144.410004,144.410004,136.889999,142.190002,142.190002,124800
2020-09-08,140.610001,143.149994,138.820007,138.820007,138.820007,88400
2020-09-09,139.830002,142.350006,139.000000,141.149994,141.149994,140700
2020-09-10,141.720001,143.089996,139.440002,139.720001,139.720001,148700
2020-09-11,140.869995,141.410004,138.839996,141.130005,141.130005,116400
2020-09-14,141.630005,143.039993,140.210007,142.619995,142.619995,69400
2020-09-15,145.000000,155.990005,143.809998,155.750000,155.750000,262100
2020-09-16,158.940002,176.559998,157.750000,174.899994,174.899994,459600
2020-09-17,173.399994,173.399994,162.589996,163.610001,163.610001,179700
2020-09-18,165.520004,166.169998,157.440002,159.589996,159.589996,347000
2020-09-21,157.699997,157.699997,149.210007,152.160004,152.160004,159700
2020-09-22,153.369995,154.649994,149.389999,154.250000,154.250000,89700
2020-09-23,153.800003,154.770004,148.110001,148.279999,148.279999,111700
2020-09-24,147.380005,148.059998,144.600006,146.059998,146.059998,122100
2020-09-25,146.169998,146.960007,144.990005,146.130005,146.130005,169300
2020-09-28,148.449997,153.410004,148.449997,151.460007,151.460007,144400
2020-09-29,150.669998,151.100006,148.080002,149.690002,149.690002,62400
2020-09-30,150.220001,153.070007,149.860001,150.559998,150.559998,82400
2020-10-01,150.660004,152.710007,148.550003,148.960007,148.960007,69400
2020-10-02,146.320007,149.949997,145.160004,146.460007,146.460007,110300
2020-10-05,147.729996,149.740005,146.899994,148.210007,148.210007,49500
2020-10-06,149.320007,154.350006,149.229996,150.039993,150.039993,91100
2020-10-07,151.000000,153.440002,150.820007,153.089996,153.089996,51800
2020-10-08,155.330002,164.789993,155.330002,163.940002,163.940002,168000
2020-10-09,164.589996,165.529999,160.649994,164.729996,164.729996,102100
2020-10-12,167.160004,169.399994,164.300003,166.460007,166.460007,88100
2020-10-13,165.600006,166.539993,164.029999,166.080002,166.080002,58600
2020-10-14,166.389999,167.839996,162.800003,164.240005,164.240005,54000
2020-10-15,162.429993,166.869995,162.330002,165.970001,165.970001,53100
2020-10-16,165.979996,167.360001,164.690002,164.699997,164.699997,38500
2020-10-19,165.600006,167.679993,163.429993,164.139999,164.139999,87300
2020-10-20,164.559998,172.350006,164.039993,169.070007,169.070007,311600
2020-10-21,174.889999,185.750000,174.889999,181.050003,181.050003,273200
2020-10-22,185.490005,186.210007,178.000000,183.050003,183.050003,178300
2020-10-23,183.270004,184.970001,181.190002,184.300003,184.300003,120400
2020-10-26,184.479996,187.000000,172.529999,175.000000,175.000000,168800
2020-10-27,176.029999,179.000000,172.529999,175.580002,175.580002,170700
2020-10-28,180.000000,182.449997,161.600006,162.149994,162.149994,387200
2020-10-29,162.389999,167.070007,161.729996,161.960007,161.960007,183600
2020-10-30,161.960007,167.250000,159.539993,167.070007,167.070007,236100
2020-11-02,168.910004,169.229996,162.500000,166.570007,166.570007,125700
2020-11-03,169.759995,172.610001,167.779999,171.949997,171.949997,90800
2020-11-04,172.949997,178.360001,171.440002,172.529999,172.529999,110400
2020-11-05,178.500000,183.600006,177.850006,181.679993,181.679993,173200
2020-11-06,183.789993,186.179993,177.500000,185.619995,185.619995,158500
2020-11-09,183.990005,187.270004,181.740005,185.009995,185.009995,311100
2020-11-10,184.580002,189.690002,184.000000,186.139999,186.139999,169500
2020-11-11,188.160004,193.220001,187.250000,192.160004,192.160004,133000
2020-11-12,195.360001,196.080002,185.639999,186.940002,186.940002,176700
2020-11-13,188.479996,193.910004,186.559998,192.270004,192.270004,164900
2020-11-16,194.330002,204.369995,192.210007,203.929993,203.929993,202000
2020-11-17,204.149994,209.679993,199.559998,208.199997,208.199997,196200
2020-11-18,211.789993,226.850006,211.789993,212.960007,212.960007,378000
2020-11-19,212.000000,218.970001,209.110001,217.110001,217.110001,143300
2020-11-20,217.419998,227.000000,216.199997,222.110001,222.110001,212100
2020-11-23,227.000000,227.000000,214.369995,220.759995,220.759995,201000
2020-11-24,225.699997,248.839996,222.410004,247.229996,247.229996,1120400
2020-11-25,254.300003,277.220001,252.020004,270.269989,270.269989,885100
2020-11-27,255.000000,280.000000,253.509995,271.260010,271.260010,561900
2020-11-30,300.299988,347.500000,299.000000,342.769989,342.769989,1565000
2020-12-01,324.000000,358.940002,316.859985,324.000000,324.000000,798700
2020-12-02,323.000000,330.000000,310.540009,321.320007,321.320007,408100
2020-12-03,327.839996,332.790009,322.059998,331.600006,331.600006,254400
2020-12-04,326.619995,337.209991,317.380005,328.000000,328.000000,296800
2020-12-07,330.070007,349.720001,325.529999,336.220001,336.220001,354000
2020-12-08,317.000000,318.000000,288.109985,289.450012,289.450012,1491200
2020-12-09,284.119995,291.140015,274.089996,286.209991,286.209991,1324100
2020-12-10,285.170013,291.769989,282.380005,290.329987,290.329987,505200
2020-12-11,289.950012,295.250000,279.440002,285.920013,285.920013,375600
2020-12-14,298.929993,300.000000,276.380005,279.529999,279.529999,830600
2020-12-15,283.709991,289.829987,277.390015,285.790009,285.790009,540200
2020-12-16,312.700012,315.000000,298.000000,299.119995,299.119995,1119200
2020-12-17,321.000000,322.329987,293.290009,297.799988,297.799988,1249300
2020-12-18,295.000000,304.000000,287.170013,301.200012,301.200012,1323100
2020-12-21,297.630005,322.000000,295.019989,317.600006,317.600006,712900
2020-12-22,326.989990,335.929993,320.369995,331.500000,331.500000,639900
2020-12-23,334.670013,343.200012,325.160004,337.179993,337.179993,594100
2020-12-24,337.000000,338.829987,320.359985,322.609985,322.609985,252600
2020-12-28,367.290009,379.989990,354.019989,370.000000,370.000000,1097700
2020-12-29,367.000000,371.239990,344.000000,366.070007,366.070007,735200
2020-12-30,377.000000,399.820007,371.000000,389.970001,389.970001,935200
2020-12-31,391.019989,399.980011,377.119995,388.549988,388.549988,739600
2021-01-04,416.329987,444.390015,410.010010,425.220001,425.220001,1467900
2021-01-05,421.049988,438.399994,406.510010,428.630005,428.630005,1100600
2021-01-06,430.839996,483.019989,430.839996,480.549988,480.549988,1536000
2021-01-07,521.320007,559.859985,502.109985,535.750000,535.750000,2284400
2021-01-08,565.070007,568.659973,513.320007,531.640015,531.640015,1645400
2021-01-11,472.140015,511.980011,464.510010,495.489990,495.489990,1472700
2021-01-12,502.779999,519.950012,488.510010,514.239990,514.239990,671800
2021-01-13,500.730011,523.989990,492.339996,519.260010,519.260010,617500
2021-01-14,542.609985,631.599976,538.619995,631.000000,631.000000,1911800
2021-01-15,607.099976,622.840027,574.000000,578.070007,578.070007,1608900
2021-01-19,616.530029,621.450012,579.000000,592.210022,592.210022,1037800
2021-01-20,579.250000,589.000000,532.000000,550.820007,550.820007,1231700
2021-01-21,514.049988,532.549988,504.600006,520.460022,520.460022,1168800
2021-01-22,525.010010,582.500000,525.000000,577.030029,577.030029,1133300
2021-01-25,590.299988,599.080017,551.140015,571.419983,571.419983,683400
2021-01-26,555.000000,564.650024,546.000000,559.809998,559.809998,478900
2021-01-27,533.229980,549.469971,505.700012,540.099976,540.099976,656400
2021-01-28,561.299988,605.330017,551.510010,578.380005,578.380005,763000
